SystemCodeNumber,Capacity,Occupancy,LastUpdated,Date,Hour,Day,Month,DayOfWeek,IsWeekend,AvailableSpaces,OccupancyRate,Previous_Availability,Lag_2_Availability,Lag_3_Availability,Rolling_Average_Availability
Others-CCCPS202,2937,1163,2016-10-04 09:59:48,2016-10-04,9,4,10,Tuesday,0,1774,0.39598229485869935,1901.0,2089.0,2272.0,2087.3333333333335
BHMBCCPST01,317,129,2016-10-04 09:59:48,2016-10-04,9,4,10,Tuesday,0,188,0.4069400630914827,201.0,208.0,219.0,209.33333333333334
BHMBRCBRG03,849,151,2016-10-04 09:59:48,2016-10-04,9,4,10,Tuesday,0,698,0.17785630153121318,735.0,751.0,772.0,752.6666666666666
Others-CCCPS105a,2009,1142,2016-10-04 09:59:48,2016-10-04,9,4,10,Tuesday,0,867,0.5684420109507218,1005.0,1145.0,1229.0,1126.3333333333333
Shopping,1920,1254,2016-10-04 09:59:48,2016-10-04,9,4,10,Tuesday,0,666,0.653125,799.0,962.0,1159.0,973.3333333333334
Others-CCCPS98,3103,1052,2016-10-04 09:59:48,2016-10-04,9,4,10,Tuesday,0,2051,0.33902674830808893,2171.0,2311.0,2425.0,2302.3333333333335
BHMMBMMBX01,687,485,2016-10-04 09:59:48,2016-10-04,9,4,10,Tuesday,0,202,0.7059679767103348,273.0,341.0,385.0,333.0
BHMNCPPLS01,450,94,2016-10-04 09:59:48,2016-10-04,9,4,10,Tuesday,0,356,0.2088888888888889,366.0,365.0,368.0,366.3333333333333
BHMBRCBRG03,849,175,2016-10-04 10:26:49,2016-10-04,10,4,10,Tuesday,0,674,0.2061248527679623,698.0,735.0,751.0,728.0
BHMNCPNHS01,500,500,2016-10-04 10:26:49,2016-10-04,10,4,10,Tuesday,0,0,1.0,58.0,95.0,198.0,117.0
BHMBCCTHL01,387,264,2016-10-04 10:26:49,2016-10-04,10,4,10,Tuesday,0,123,0.6821705426356589,151.0,183.0,232.0,188.66666666666666
BHMBCCSNH01,863,661,2016-10-04 10:26:49,2016-10-04,10,4,10,Tuesday,0,202,0.7659327925840093,273.0,360.0,490.0,374.3333333333333
NIA South,788,219,2016-10-04 10:26:49,2016-10-04,10,4,10,Tuesday,0,569,0.2779187817258883,582.0,598.0,635.0,605.0
Others-CCCPS98,3103,1142,2016-10-04 10:26:49,2016-10-04,10,4,10,Tuesday,0,1961,0.368030937802127,2051.0,2171.0,2311.0,2177.6666666666665
Bull Ring,3053,770,2016-10-04 10:26:49,2016-10-04,10,4,10,Tuesday,0,2283,0.2522109400589584,2456.0,2617.0,2697.0,2590.0
BHMBRCBRG01,1010,304,2016-10-04 10:26:49,2016-10-04,10,4,10,Tuesday,0,706,0.300990099009901,795.0,865.0,894.0,851.3333333333334
NIA Car Parks,1268,258,2016-10-04 10:26:49,2016-10-04,10,4,10,Tuesday,0,1010,0.20347003154574134,1031.0,1055.0,1102.0,1062.6666666666667
BHMNCPHST01,1200,686,2016-10-04 10:26:49,2016-10-04,10,4,10,Tuesday,0,514,0.5716666666666667,562.0,648.0,759.0,656.3333333333334
BHMEURBRD01,470,430,2016-10-04 10:26:49,2016-10-04,10,4,10,Tuesday,0,40,0.9148936170212766,73.0,119.0,201.0,131.0
BHMNCPNST01,485,351,2016-10-04 10:26:49,2016-10-04,10,4,10,Tuesday,0,134,0.7237113402061855,158.0,183.0,207.0,182.66666666666666
Broad Street,690,642,2016-10-04 10:26:49,2016-10-04,10,4,10,Tuesday,0,48,0.9304347826086956,90.0,160.0,275.0,175.0
BHMMBMMBX01,687,530,2016-10-04 10:26:49,2016-10-04,10,4,10,Tuesday,0,157,0.7714701601164483,202.0,273.0,341.0,272.0
Shopping,1920,1324,2016-10-04 10:26:49,2016-10-04,10,4,10,Tuesday,0,596,0.6895833333333333,666.0,799.0,962.0,809.0
BHMNCPPLS01,450,100,2016-10-04 10:26:49,2016-10-04,10,4,10,Tuesday,0,350,0.2222222222222222,356.0,366.0,365.0,362.3333333333333
BHMBCCMKT01,577,177,2016-10-04 10:26:49,2016-10-04,10,4,10,Tuesday,0,400,0.30675909878682844,427.0,470.0,497.0,464.6666666666667
BHMBRCBRG02,1194,291,2016-10-04 10:26:49,2016-10-04,10,4,10,Tuesday,0,903,0.24371859296482412,963.0,1017.0,1052.0,1010.6666666666666
BHMNCPRAN01,600,549,2016-10-04 10:26:49,2016-10-04,10,4,10,Tuesday,0,51,0.915,84.0,127.0,226.0,145.66666666666666
Others-CCCPS8,1322,715,2016-10-04 10:26:49,2016-10-04,10,4,10,Tuesday,0,607,0.5408472012102874,665.0,732.0,804.0,733.6666666666666
Others-CCCPS105a,2009,1245,2016-10-04 10:26:49,2016-10-04,10,4,10,Tuesday,0,764,0.6197112991538078,867.0,1005.0,1145.0,1005.6666666666666
Others-CCCPS135a,3883,3035,2016-10-04 10:26:49,2016-10-04,10,4,10,Tuesday,0,848,0.7816121555498327,1081.0,1381.0,1876.0,1446.0
BHMNCPLDH01,720,638,2016-10-04 10:26:49,2016-10-04,10,4,10,Tuesday,0,82,0.8861111111111111,104.0,151.0,203.0,152.66666666666666
Others-CCCPS202,2937,1257,2016-10-04 10:26:49,2016-10-04,10,4,10,Tuesday,0,1680,0.4279877425944842,1774.0,1901.0,2089.0,1921.3333333333333
Others-CCCPS133,4675,1751,2016-10-04 10:26:49,2016-10-04,10,4,10,Tuesday,0,2924,0.37454545454545457,3172.0,3439.0,3610.0,3407.0
BHMEURBRD02,220,212,2016-10-04 10:26:49,2016-10-04,10,4,10,Tuesday,0,8,0.9636363636363636,17.0,41.0,74.0,44.0
Others-CCCPS119a,2803,525,2016-10-04 10:26:49,2016-10-04,10,4,10,Tuesday,0,2278,0.1872993221548341,2327.0,2383.0,2480.0,2396.6666666666665
BHMBCCPST01,317,142,2016-10-04 10:26:49,2016-10-04,10,4,10,Tuesday,0,175,0.4479495268138801,188.0,201.0,208.0,199.0
BHMNCPNHS01,500,498,2016-10-04 10:52:49,2016-10-04,10,4,10,Tuesday,0,2,0.996,0.0,58.0,95.0,51.0
Others-CCCPS135a,3883,3169,2016-10-04 10:59:48,2016-10-04,10,4,10,Tuesday,0,714,0.816121555498326,848.0,1081.0,1381.0,1103.3333333333333
Others-CCCPS119a,2803,574,2016-10-04 10:59:48,2016-10-04,10,4,10,Tuesday,0,2229,0.20478059222261863,2278.0,2327.0,2383.0,2329.3333333333335
Others-CCCPS98,3103,1210,2016-10-04 10:59:48,2016-10-04,10,4,10,Tuesday,0,1893,0.38994521430873347,1961.0,2051.0,2171.0,2061.0
NIA South,788,228,2016-10-04 10:59:48,2016-10-04,10,4,10,Tuesday,0,560,0.2893401015228426,569.0,582.0,598.0,583.0
Broad Street,690,675,2016-10-04 10:59:48,2016-10-04,10,4,10,Tuesday,0,15,0.9782608695652174,48.0,90.0,160.0,99.33333333333333
BHMMBMMBX01,687,573,2016-10-04 10:59:48,2016-10-04,10,4,10,Tuesday,0,114,0.834061135371179,157.0,202.0,273.0,210.66666666666666
BHMNCPNST01,485,371,2016-10-04 10:59:48,2016-10-04,10,4,10,Tuesday,0,114,0.7649484536082474,134.0,158.0,183.0,158.33333333333334
Others-CCCPS133,4675,2058,2016-10-04 10:59:48,2016-10-04,10,4,10,Tuesday,0,2617,0.4402139037433155,2924.0,3172.0,3439.0,3178.3333333333335
BHMBCCSNH01,863,714,2016-10-04 10:59:48,2016-10-04,10,4,10,Tuesday,0,149,0.8273464658169177,202.0,273.0,360.0,278.3333333333333
BHMBCCPST01,317,156,2016-10-04 10:59:48,2016-10-04,10,4,10,Tuesday,0,161,0.4921135646687697,175.0,188.0,201.0,188.0
Bull Ring,3053,1002,2016-10-04 10:59:48,2016-10-04,10,4,10,Tuesday,0,2051,0.32820176875204715,2283.0,2456.0,2617.0,2452.0
Shopping,1920,1387,2016-10-04 10:59:48,2016-10-04,10,4,10,Tuesday,0,533,0.7223958333333333,596.0,666.0,799.0,687.0
BHMEURBRD01,470,458,2016-10-04 10:59:48,2016-10-04,10,4,10,Tuesday,0,12,0.9744680851063829,40.0,73.0,119.0,77.33333333333333
Others-CCCPS105a,2009,1364,2016-10-04 10:59:48,2016-10-04,10,4,10,Tuesday,0,645,0.6789447486311598,764.0,867.0,1005.0,878.6666666666666
BHMBRCBRG03,849,211,2016-10-04 10:59:48,2016-10-04,10,4,10,Tuesday,0,638,0.24852767962308597,674.0,698.0,735.0,702.3333333333334
BHMNCPPLS01,450,112,2016-10-04 10:59:48,2016-10-04,10,4,10,Tuesday,0,338,0.24888888888888888,350.0,356.0,366.0,357.3333333333333
BHMBCCMKT01,577,219,2016-10-04 10:59:48,2016-10-04,10,4,10,Tuesday,0,358,0.37954939341421146,400.0,427.0,470.0,432.3333333333333
BHMEURBRD02,220,217,2016-10-04 10:59:48,2016-10-04,10,4,10,Tuesday,0,3,0.9863636363636363,8.0,17.0,41.0,22.0
NIA Car Parks,1268,263,2016-10-04 10:59:48,2016-10-04,10,4,10,Tuesday,0,1005,0.20741324921135645,1010.0,1031.0,1055.0,1032.0
BHMBRCBRG02,1194,376,2016-10-04 10:59:48,2016-10-04,10,4,10,Tuesday,0,818,0.3149078726968174,903.0,963.0,1017.0,961.0
BHMBCCTHL01,387,308,2016-10-04 10:59:48,2016-10-04,10,4,10,Tuesday,0,79,0.7958656330749354,123.0,151.0,183.0,152.33333333333334
BHMNCPHST01,1200,729,2016-10-04 10:59:48,2016-10-04,10,4,10,Tuesday,0,471,0.6075,514.0,562.0,648.0,574.6666666666666
BHMNCPRAN01,600,570,2016-10-04 10:59:48,2016-10-04,10,4,10,Tuesday,0,30,0.95,51.0,84.0,127.0,87.33333333333333
BHMNCPLDH01,720,658,2016-10-04 10:59:48,2016-10-04,10,4,10,Tuesday,0,62,0.9138888888888889,82.0,104.0,151.0,112.33333333333333
Others-CCCPS8,1322,791,2016-10-04 10:59:48,2016-10-04,10,4,10,Tuesday,0,531,0.5983358547655068,607.0,665.0,732.0,668.0
Others-CCCPS202,2937,1354,2016-10-04 10:59:48,2016-10-04,10,4,10,Tuesday,0,1583,0.4610146407899217,1680.0,1774.0,1901.0,1785.0
BHMBRCBRG01,1010,415,2016-10-04 10:59:48,2016-10-04,10,4,10,Tuesday,0,595,0.41089108910891087,706.0,795.0,865.0,788.6666666666666
Bull Ring,3053,1137,2016-10-04 11:19:43,2016-10-04,11,4,10,Tuesday,0,1916,0.3724205699312152,2051.0,2283.0,2456.0,2263.3333333333335
BHMBRCBRG01,1010,476,2016-10-04 11:19:43,2016-10-04,11,4,10,Tuesday,0,534,0.47128712871287126,595.0,706.0,795.0,698.6666666666666
BHMBRCBRG03,849,228,2016-10-04 11:19:43,2016-10-04,11,4,10,Tuesday,0,621,0.26855123674911663,638.0,674.0,698.0,670.0
BHMBRCBRG02,1194,433,2016-10-04 11:19:43,2016-10-04,11,4,10,Tuesday,0,761,0.3626465661641541,818.0,903.0,963.0,894.6666666666666
Others-CCCPS8,1322,820,2016-10-04 11:25:47,2016-10-04,11,4,10,Tuesday,0,502,0.6202723146747352,531.0,607.0,665.0,601.0
Others-CCCPS135a,3883,3221,2016-10-04 11:25:47,2016-10-04,11,4,10,Tuesday,0,662,0.829513262941025,714.0,848.0,1081.0,881.0
BHMNCPRAN01,600,572,2016-10-04 11:25:47,2016-10-04,11,4,10,Tuesday,0,28,0.9533333333333334,30.0,51.0,84.0,55.0
NIA Car Parks,1268,261,2016-10-04 11:25:47,2016-10-04,11,4,10,Tuesday,0,1007,0.2058359621451104,1005.0,1010.0,1031.0,1015.3333333333334
BHMBCCMKT01,577,247,2016-10-04 11:25:47,2016-10-04,11,4,10,Tuesday,0,330,0.42807625649913345,358.0,400.0,427.0,395.0
BHMNCPLDH01,720,663,2016-10-04 11:25:47,2016-10-04,11,4,10,Tuesday,0,57,0.9208333333333333,62.0,82.0,104.0,82.66666666666667
BHMEURBRD02,220,208,2016-10-04 11:25:47,2016-10-04,11,4,10,Tuesday,0,12,0.9454545454545454,3.0,8.0,17.0,9.333333333333334
BHMNCPPLS01,450,123,2016-10-04 11:25:47,2016-10-04,11,4,10,Tuesday,0,327,0.2733333333333333,338.0,350.0,356.0,348.0
Shopping,1920,1428,2016-10-04 11:25:47,2016-10-04,11,4,10,Tuesday,0,492,0.74375,533.0,596.0,666.0,598.3333333333334
Others-CCCPS119a,2803,588,2016-10-04 11:25:47,2016-10-04,11,4,10,Tuesday,0,2215,0.2097752408134142,2229.0,2278.0,2327.0,2278.0
BHMMBMMBX01,687,604,2016-10-04 11:25:47,2016-10-04,11,4,10,Tuesday,0,83,0.8791848617176128,114.0,157.0,202.0,157.66666666666666
BHMNCPNST01,485,373,2016-10-04 11:25:47,2016-10-04,11,4,10,Tuesday,0,112,0.7690721649484537,114.0,134.0,158.0,135.33333333333334
BHMBCCPST01,317,167,2016-10-04 11:25:47,2016-10-04,11,4,10,Tuesday,0,150,0.526813880126183,161.0,175.0,188.0,174.66666666666666
BHMEURBRD01,470,464,2016-10-04 11:25:47,2016-10-04,11,4,10,Tuesday,0,6,0.9872340425531915,12.0,40.0,73.0,41.666666666666664
Broad Street,690,672,2016-10-04 11:25:47,2016-10-04,11,4,10,Tuesday,0,18,0.9739130434782609,15.0,48.0,90.0,51.0
Others-CCCPS105a,2009,1424,2016-10-04 11:25:47,2016-10-04,11,4,10,Tuesday,0,585,0.7088103534096566,645.0,764.0,867.0,758.6666666666666
NIA South,788,234,2016-10-04 11:25:47,2016-10-04,11,4,10,Tuesday,0,554,0.2969543147208122,560.0,569.0,582.0,570.3333333333334
BHMBCCSNH01,863,723,2016-10-04 11:25:47,2016-10-04,11,4,10,Tuesday,0,140,0.8377752027809965,149.0,202.0,273.0,208.0
BHMBCCTHL01,387,324,2016-10-04 11:25:47,2016-10-04,11,4,10,Tuesday,0,63,0.8372093023255814,79.0,123.0,151.0,117.66666666666667
Others-CCCPS98,3103,1241,2016-10-04 11:25:47,2016-10-04,11,4,10,Tuesday,0,1862,0.3999355462455688,1893.0,1961.0,2051.0,1968.3333333333333
Others-CCCPS202,2937,1369,2016-10-04 11:25:47,2016-10-04,11,4,10,Tuesday,0,1568,0.46612189308818525,1583.0,1680.0,1774.0,1679.0
Others-CCCPS133,4675,2237,2016-10-04 11:25:47,2016-10-04,11,4,10,Tuesday,0,2438,0.47850267379679146,2617.0,2924.0,3172.0,2904.3333333333335
BHMNCPHST01,1200,765,2016-10-04 11:25:47,2016-10-04,11,4,10,Tuesday,0,435,0.6375,471.0,514.0,562.0,515.6666666666666
BHMNCPNHS01,500,498,2016-10-04 11:32:45,2016-10-04,11,4,10,Tuesday,0,2,0.996,2.0,0.0,58.0,20.0
BHMNCPPLS01,450,123,2016-10-04 11:39:43,2016-10-04,11,4,10,Tuesday,0,327,0.2733333333333333,327.0,338.0,350.0,338.3333333333333
BHMNCPLDH01,720,676,2016-10-04 11:59:44,2016-10-04,11,4,10,Tuesday,0,44,0.9388888888888889,57.0,62.0,82.0,67.0
Others-CCCPS135a,3883,3248,2016-10-04 11:59:44,2016-10-04,11,4,10,Tuesday,0,635,0.836466649497811,662.0,714.0,848.0,741.3333333333334
BHMBCCSNH01,863,737,2016-10-04 11:59:44,2016-10-04,11,4,10,Tuesday,0,126,0.8539976825028969,140.0,149.0,202.0,163.66666666666666
BHMEURBRD01,470,460,2016-10-04 11:59:44,2016-10-04,11,4,10,Tuesday,0,10,0.9787234042553191,6.0,12.0,40.0,19.333333333333332
BHMBCCPST01,317,175,2016-10-04 11:59:44,2016-10-04,11,4,10,Tuesday,0,142,0.5520504731861199,150.0,161.0,175.0,162.0
BHMNCPNST01,485,381,2016-10-04 11:59:44,2016-10-04,11,4,10,Tuesday,0,104,0.7855670103092783,112.0,114.0,134.0,120.0
NIA South,788,244,2016-10-04 11:59:44,2016-10-04,11,4,10,Tuesday,0,544,0.3096446700507614,554.0,560.0,569.0,561.0
BHMNCPHST01,1200,771,2016-10-04 11:59:44,2016-10-04,11,4,10,Tuesday,0,429,0.6425,435.0,471.0,514.0,473.3333333333333
Others-CCCPS98,3103,1288,2016-10-04 11:59:44,2016-10-04,11,4,10,Tuesday,0,1815,0.41508217853689977,1862.0,1893.0,1961.0,1905.3333333333333
Others-CCCPS105a,2009,1470,2016-10-04 11:59:44,2016-10-04,11,4,10,Tuesday,0,539,0.7317073170731707,585.0,645.0,764.0,664.6666666666666
Others-CCCPS133,4675,2275,2016-10-04 11:59:44,2016-10-04,11,4,10,Tuesday,0,2400,0.48663101604278075,2438.0,2617.0,2924.0,2659.6666666666665
BHMMBMMBX01,687,634,2016-10-04 11:59:44,2016-10-04,11,4,10,Tuesday,0,53,0.9228529839883551,83.0,114.0,157.0,118.0
Others-CCCPS119a,2803,605,2016-10-04 11:59:44,2016-10-04,11,4,10,Tuesday,0,2198,0.21584017124509455,2215.0,2229.0,2278.0,2240.6666666666665
Shopping,1920,1447,2016-10-04 11:59:44,2016-10-04,11,4,10,Tuesday,0,473,0.7536458333333333,492.0,533.0,596.0,540.3333333333334
BHMNCPRAN01,600,566,2016-10-04 11:59:44,2016-10-04,11,4,10,Tuesday,0,34,0.9433333333333334,28.0,30.0,51.0,36.333333333333336
BHMBCCMKT01,577,259,2016-10-04 11:59:44,2016-10-04,11,4,10,Tuesday,0,318,0.4488734835355286,330.0,358.0,400.0,362.6666666666667
Broad Street,690,677,2016-10-04 11:59:44,2016-10-04,11,4,10,Tuesday,0,13,0.981159420289855,18.0,15.0,48.0,27.0
Others-CCCPS202,2937,1390,2016-10-04 11:59:44,2016-10-04,11,4,10,Tuesday,0,1547,0.47327204630575415,1568.0,1583.0,1680.0,1610.3333333333333
NIA Car Parks,1268,270,2016-10-04 11:59:44,2016-10-04,11,4,10,Tuesday,0,998,0.21293375394321767,1007.0,1005.0,1010.0,1007.3333333333334
BHMEURBRD02,220,217,2016-10-04 11:59:44,2016-10-04,11,4,10,Tuesday,0,3,0.9863636363636363,12.0,3.0,8.0,7.666666666666667
Others-CCCPS8,1322,836,2016-10-04 11:59:44,2016-10-04,11,4,10,Tuesday,0,486,0.632375189107413,502.0,531.0,607.0,546.6666666666666
BHMBCCTHL01,387,332,2016-10-04 11:59:44,2016-10-04,11,4,10,Tuesday,0,55,0.8578811369509044,63.0,79.0,123.0,88.33333333333333
BHMBCCMKT01,577,266,2016-10-04 12:29:45,2016-10-04,12,4,10,Tuesday,0,311,0.4610051993067591,318.0,330.0,358.0,335.3333333333333
NIA Car Parks,1268,267,2016-10-04 12:29:45,2016-10-04,12,4,10,Tuesday,0,1001,0.21056782334384858,998.0,1007.0,1005.0,1003.3333333333334
BHMMBMMBX01,687,648,2016-10-04 12:29:45,2016-10-04,12,4,10,Tuesday,0,39,0.9432314410480349,53.0,83.0,114.0,83.33333333333333
BHMEURBRD02,220,219,2016-10-04 12:29:45,2016-10-04,12,4,10,Tuesday,0,1,0.9954545454545455,3.0,12.0,3.0,6.0
BHMBRCBRG03,849,271,2016-10-04 12:29:45,2016-10-04,12,4,10,Tuesday,0,578,0.31919905771495877,621.0,638.0,674.0,644.3333333333334
Others-CCCPS133,4675,2596,2016-10-04 12:29:45,2016-10-04,12,4,10,Tuesday,0,2079,0.5552941176470588,2400.0,2438.0,2617.0,2485.0
BHMNCPLDH01,720,681,2016-10-04 12:29:45,2016-10-04,12,4,10,Tuesday,0,39,0.9458333333333333,44.0,57.0,62.0,54.333333333333336
NIA South,788,253,2016-10-04 12:29:45,2016-10-04,12,4,10,Tuesday,0,535,0.3210659898477157,544.0,554.0,560.0,552.6666666666666
Others-CCCPS105a,2009,1484,2016-10-04 12:29:45,2016-10-04,12,4,10,Tuesday,0,525,0.7386759581881533,539.0,585.0,645.0,589.6666666666666
BHMBRCBRG02,1194,543,2016-10-04 12:29:45,2016-10-04,12,4,10,Tuesday,0,651,0.4547738693467337,761.0,818.0,903.0,827.3333333333334
BHMNCPRAN01,600,560,2016-10-04 12:29:45,2016-10-04,12,4,10,Tuesday,0,40,0.9333333333333333,34.0,28.0,30.0,30.666666666666668
